date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:33	332758/332758	---MCZ	200	added ('OK')	text/html	etag:%22635a3e17-513d6%22	https://htmldemo.net/james/james/index.html	D:/fe1/htmldemo.net/james/james/index.html	(from )
22:24:34	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20May%202025%2015:24:42%20GMT	https://htmldemo.net/robots.txt		(from )
22:24:34	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22635a3e51-47e%22	https://htmldemo.net/james/james/img/favicon.ico	D:/fe1/htmldemo.net/james/james/img/favicon.ico	(from https://htmldemo.net/james/james/index.html)
22:24:35	27470/27470	---MCZ	200	added ('OK')	text/css	etag:%22635a3e2b-6b4e%22	https://htmldemo.net/james/james/css/font-awesome.min.css	D:/fe1/htmldemo.net/james/james/css/font-awesome.min.css	(from https://htmldemo.net/james/james/index.html)
22:24:35	194859/194859	---MCZ	200	added ('OK')	text/css	etag:%22635a3e29-2f92b%22	https://htmldemo.net/james/james/css/bootstrap.min.css	D:/fe1/htmldemo.net/james/james/css/bootstrap.min.css	(from https://htmldemo.net/james/james/index.html)
22:24:35	1547/1547	---MCZ	200	added ('OK')	text/css	etag:%22635a3e31-60b%22	https://htmldemo.net/james/james/css/owl.carousel.css	D:/fe1/htmldemo.net/james/james/css/owl.carousel.css	(from https://htmldemo.net/james/james/index.html)
22:24:36	1878/1878	---MCZ	200	added ('OK')	text/css	etag:%22635a3e32-756%22	https://htmldemo.net/james/james/css/owl.theme.css	D:/fe1/htmldemo.net/james/james/css/owl.theme.css	(from https://htmldemo.net/james/james/index.html)
22:24:36	4638/4638	---MCZ	200	added ('OK')	text/css	etag:%22635a3e33-121e%22	https://htmldemo.net/james/james/css/owl.transitions.css	D:/fe1/htmldemo.net/james/james/css/owl.transitions.css	(from https://htmldemo.net/james/james/index.html)
22:24:36	37775/37775	---MCZ	200	added ('OK')	text/css	etag:%22635a3e2b-938f%22	https://htmldemo.net/james/james/css/jquery-ui.css	D:/fe1/htmldemo.net/james/james/css/jquery-ui.css	(from https://htmldemo.net/james/james/index.html)
22:24:37	2618/2618	---MCZ	200	added ('OK')	text/css	etag:%22635a3e2f-a3a%22	https://htmldemo.net/james/james/css/meanmenu.min.css	D:/fe1/htmldemo.net/james/james/css/meanmenu.min.css	(from https://htmldemo.net/james/james/index.html)
22:24:37	9412/9412	---MCZ	200	added ('OK')	text/css	etag:%22635a3f1f-24c4%22	https://htmldemo.net/james/james/lib/css/nivo-slider.css	D:/fe1/htmldemo.net/james/james/lib/css/nivo-slider.css	(from https://htmldemo.net/james/james/index.html)
22:24:37	4574/4574	---MCZ	200	added ('OK')	text/css	etag:%22635a3f1f-11de%22	https://htmldemo.net/james/james/lib/css/preview.css	D:/fe1/htmldemo.net/james/james/lib/css/preview.css	(from https://htmldemo.net/james/james/index.html)
22:24:38	47875/47875	---MCZ	200	added ('OK')	text/css	etag:%22635a3e2d-bb03%22	https://htmldemo.net/james/james/css/magic.css	D:/fe1/htmldemo.net/james/james/css/magic.css	(from https://htmldemo.net/james/james/index.html)
22:24:38	74096/74096	---MCZ	200	added ('OK')	text/css	etag:%22635a3e28-12170%22	https://htmldemo.net/james/james/css/animate.css	D:/fe1/htmldemo.net/james/james/css/animate.css	(from https://htmldemo.net/james/james/index.html)
22:24:38	8132/8132	---MCZ	200	added ('OK')	text/css	etag:%22635a3e2f-1fc4%22	https://htmldemo.net/james/james/css/normalize.css	D:/fe1/htmldemo.net/james/james/css/normalize.css	(from https://htmldemo.net/james/james/index.html)
22:24:38	6008/6008	---MCZ	200	added ('OK')	text/css	etag:%22635a3e2d-1778%22	https://htmldemo.net/james/james/css/main.css	D:/fe1/htmldemo.net/james/james/css/main.css	(from https://htmldemo.net/james/james/index.html)
22:24:39	9142/9142	---MCZ	200	added ('OK')	text/css	etag:%22635a3e34-23b6%22	https://htmldemo.net/james/james/css/responsive.css	D:/fe1/htmldemo.net/james/james/css/responsive.css	(from https://htmldemo.net/james/james/index.html)
22:24:39	75618/75618	---MCZ	200	added ('OK')	text/css	etag:%22635a3e22-12762%22	https://htmldemo.net/james/james/style.css	D:/fe1/htmldemo.net/james/james/style.css	(from https://htmldemo.net/james/james/index.html)
22:24:39	15518/15518	---MCZ	200	added ('OK')	application/javascript	etag:%22635a3f1a-3c9e%22	https://htmldemo.net/james/james/js/vendor/modernizr-2.8.3.min.js	D:/fe1/htmldemo.net/james/james/js/vendor/modernizr-2.8.3.min.js	(from https://htmldemo.net/james/james/index.html)
22:24:39	56134/56134	---MCZ	200	added ('OK')	text/html	etag:%22635a3e19-db46%22	https://htmldemo.net/james/james/my-account.html	D:/fe1/htmldemo.net/james/james/my-account.html	(from https://htmldemo.net/james/james/index.html)
22:24:39	43595/43595	---MCZ	200	added ('OK')	text/html	etag:%22635a3e22-aa4b%22	https://htmldemo.net/james/james/wishlist.html	D:/fe1/htmldemo.net/james/james/wishlist.html	(from https://htmldemo.net/james/james/index.html)
22:24:39	47651/47651	---MCZ	200	added ('OK')	text/html	etag:%22635a3e10-ba23%22	https://htmldemo.net/james/james/cart.html	D:/fe1/htmldemo.net/james/james/cart.html	(from https://htmldemo.net/james/james/index.html)
22:24:40	74394/74394	---MCZ	200	added ('OK')	text/html	etag:%22635a3e13-1229a%22	https://htmldemo.net/james/james/checkout.html	D:/fe1/htmldemo.net/james/james/checkout.html	(from https://htmldemo.net/james/james/index.html)
22:24:40	45492/45492	---MCZ	200	added ('OK')	text/html	etag:%22635a3e10-b1b4%22	https://htmldemo.net/james/james/blog.html	D:/fe1/htmldemo.net/james/james/blog.html	(from https://htmldemo.net/james/james/index.html)
22:24:40	1313/1313	---M--	200	added ('OK')	image/png	date:Thu,%2029%20May%202025%2015:24:48%20GMT	https://htmldemo.net/james/james/img/icon-cart.png	D:/fe1/htmldemo.net/james/james/img/icon-cart.png	(from https://htmldemo.net/james/james/index.html)
22:24:41	3781/3781	---M--	200	added ('OK')	image/png	date:Thu,%2029%20May%202025%2015:24:49%20GMT	https://htmldemo.net/james/james/img/cart/1.png	D:/fe1/htmldemo.net/james/james/img/cart/1.png	(from https://htmldemo.net/james/james/index.html)
22:24:41	3855/3855	---M--	200	added ('OK')	image/png	date:Thu,%2029%20May%202025%2015:24:49%20GMT	https://htmldemo.net/james/james/img/cart/2.png	D:/fe1/htmldemo.net/james/james/img/cart/2.png	(from https://htmldemo.net/james/james/index.html)
22:24:41	5160/5160	---M--	200	added ('OK')	image/png	date:Thu,%2029%20May%202025%2015:24:49%20GMT	https://htmldemo.net/james/james/img/logo.png	D:/fe1/htmldemo.net/james/james/img/logo.png	(from https://htmldemo.net/james/james/index.html)
22:24:42	139729/139729	---MCZ	200	added ('OK')	text/html	etag:%22635a3e16-221d1%22	https://htmldemo.net/james/james/index-2.html	D:/fe1/htmldemo.net/james/james/index-2.html	(from https://htmldemo.net/james/james/index.html)
22:24:42	90296/90296	---MCZ	200	added ('OK')	text/html	etag:%22635a3e1e-160b8%22	https://htmldemo.net/james/james/shop.html	D:/fe1/htmldemo.net/james/james/shop.html	(from https://htmldemo.net/james/james/index.html)
22:24:42	40560/40560	---MCZ	200	added ('OK')	text/html	etag:%22635a3e0d-9e70%22	https://htmldemo.net/james/james/about-us.html	D:/fe1/htmldemo.net/james/james/about-us.html	(from https://htmldemo.net/james/james/index.html)
22:24:42	236420/236420	---M--	200	added ('OK')	image/png	date:Thu,%2029%20May%202025%2015:24:50%20GMT	https://htmldemo.net/james/james/img/banner/menu-banner.png	D:/fe1/htmldemo.net/james/james/img/banner/menu-banner.png	(from https://htmldemo.net/james/james/index.html)
22:24:42	52615/52615	---MCZ	200	added ('OK')	text/html	etag:%22635a3e0d-cd87%22	https://htmldemo.net/james/james/blog-details.html	D:/fe1/htmldemo.net/james/james/blog-details.html	(from https://htmldemo.net/james/james/index.html)
